Country,Value,Date,Growth
ASEAN,"2,149.95",01-01-2014,-29.68
ASEAN,"2,149.95",01-02-2014,-29.68
ASEAN,"2,149.95",01-03-2014,-29.68
ASEAN,"2,149.95",01-04-2014,-29.68
ASEAN,"2,149.95",01-05-2014,-29.68
ASEAN,"2,149.95",01-06-2014,-29.68
ASEAN,"2,149.95",01-07-2014,-29.68
ASEAN,"2,149.95",01-08-2014,-29.68
ASEAN,"2,149.95",01-09-2014,-29.68
ASEAN,"2,149.95",01-10-2014,-29.68
ASEAN,"2,149.95",01-11-2014,-29.68
ASEAN,"2,149.95",01-12-2014,-29.68
ASEAN,"1,988.47",01-01-2015,-7.51
ASEAN,"1,988.47",01-02-2015,-7.51
ASEAN,"1,988.47",01-03-2015,-7.51
ASEAN,"1,988.47",01-04-2015,-7.51
ASEAN,"1,988.47",01-05-2015,-7.51
ASEAN,"1,988.47",01-06-2015,-7.51
ASEAN,"1,988.47",01-07-2015,-7.51
ASEAN,"1,988.47",01-08-2015,-7.51
ASEAN,"1,988.47",01-09-2015,-7.51
ASEAN,"1,988.47",01-10-2015,-7.51
ASEAN,"1,988.47",01-11-2015,-7.51
ASEAN,"1,988.47",01-12-2015,-7.51
ASEAN,"1,845.71",01-01-2016,-7.18
ASEAN,"1,845.71",01-02-2016,-7.18
ASEAN,"1,845.71",01-03-2016,-7.18
ASEAN,"1,845.71",01-04-2016,-7.18
ASEAN,"1,845.71",01-05-2016,-7.18
ASEAN,"1,845.71",01-06-2016,-7.18
ASEAN,"1,845.71",01-07-2016,-7.18
ASEAN,"1,845.71",01-08-2016,-7.18
ASEAN,"1,845.71",01-09-2016,-7.18
ASEAN,"1,845.71",01-10-2016,-7.18
ASEAN,"1,845.71",01-11-2016,-7.18
ASEAN,"1,845.71",01-12-2016,-7.18
ASEAN,"3,344.74",01-01-2017,81.22
ASEAN,"3,344.74",01-02-2017,81.22
ASEAN,"3,344.74",01-03-2017,81.22
ASEAN,"3,344.74",01-04-2017,81.22
ASEAN,"3,344.74",01-05-2017,81.22
ASEAN,"3,344.74",01-06-2017,81.22
ASEAN,"3,344.74",01-07-2017,81.22
ASEAN,"3,344.74",01-08-2017,81.22
ASEAN,"3,344.74",01-09-2017,81.22
ASEAN,"3,344.74",01-10-2017,81.22
ASEAN,"3,344.74",01-11-2017,81.22
ASEAN,"3,344.74",01-12-2017,81.22
ASEAN,"2,783.37",01-01-2018,-16.78
ASEAN,"2,783.37",01-02-2018,-16.78
ASEAN,"2,783.37",01-03-2018,-16.78
ASEAN,"2,783.37",01-04-2018,-16.78
ASEAN,"2,783.37",01-05-2018,-16.78
ASEAN,"2,783.37",01-06-2018,-16.78
ASEAN,"2,783.37",01-07-2018,-16.78
ASEAN,"2,783.37",01-08-2018,-16.78
ASEAN,"2,783.37",01-09-2018,-16.78
ASEAN,"2,783.37",01-10-2018,-16.78
ASEAN,"2,783.37",01-11-2018,-16.78
ASEAN,"2,783.37",01-12-2018,-16.78
ASEAN,"2,711.87",01-01-2019,-2.57
ASEAN,"2,711.87",01-02-2019,-2.57
ASEAN,"2,711.87",01-03-2019,-2.57
ASEAN,"2,711.87",01-04-2019,-2.57
ASEAN,"2,711.87",01-05-2019,-2.57
ASEAN,"2,711.87",01-06-2019,-2.57
ASEAN,"2,711.87",01-07-2019,-2.57
ASEAN,"2,711.87",01-08-2019,-2.57
ASEAN,"2,711.87",01-09-2019,-2.57
ASEAN,"2,711.87",01-10-2019,-2.57
ASEAN,"2,711.87",01-11-2019,-2.57
ASEAN,"2,711.87",01-12-2019,-2.57
ASEAN,"3,035.60",01-01-2020,11.94
ASEAN,"3,035.60",01-02-2020,11.94
ASEAN,"3,035.60",01-03-2020,11.94
ASEAN,"3,035.60",01-04-2020,11.94
ASEAN,"3,035.60",01-05-2020,11.94
ASEAN,"3,035.60",01-06-2020,11.94
ASEAN,"3,035.60",01-07-2020,11.94
ASEAN,"3,035.60",01-08-2020,11.94
ASEAN,"3,035.60",01-09-2020,11.94
ASEAN,"3,035.60",01-10-2020,11.94
ASEAN,"3,035.60",01-11-2020,11.94
ASEAN,"3,035.60",01-12-2020,11.94
